0.82726,0.69918,0.60547,0.91961,0.73589,0.35728,0.89921,1.0646,0.65044,0.43398,0.70718,0.80054,0.29775,0.74976,Inf,0.62076,0.71474,0.19174,0.21542,0.49881,0.53723,0.50159,0.50918,1.0366,0.29769,0.56982,0.065527,0.50833,0.59454,0.36027
0.64901,0.54798,0.40074,0.71017,0.54412,0.24819,0.74643,0.85108,0.46474,0.2339,0.52232,0.60213,0.27022,0.53433,Inf,0.4479,0.59126,0.082926,Inf,0.41058,0.32271,0.32258,0.29395,0.82462,0.11404,0.47127,0.26894,0.35227,0.38142,0.15599
0.63747,0.51781,0.4673,0.73207,0.61696,0.3284,0.8277,0.90234,0.54059,0.24471,0.51594,0.60911,0.18999,0.57735,Inf,0.43149,0.67418,Inf,Inf,0.49065,0.37576,0.31048,0.33672,0.87921,0.10767,0.55278,0.25501,0.32309,0.41342,0.17542
0.5936,0.43862,0.60518,0.75935,0.76478,0.51797,0.99895,0.99146,0.69771,0.30916,0.4938,0.60972,Inf,0.65936,Inf,0.39586,0.85776,Inf,Inf,0.68034,0.49274,0.30867,0.4391,0.97679,0.21887,0.74147,0.35966,0.27671,0.4857,0.27949
0.53927,0.43395,0.38915,0.6244,0.54695,0.33641,0.78175,0.80389,0.47884,0.13704,0.41462,0.50308,Inf,0.47544,Inf,0.33588,0.65058,Inf,Inf,0.49483,0.28406,0.21132,0.23794,0.78333,Inf,0.54816,0.35926,0.23826,0.30808,0.071399
0.49655,0.4111,0.32583,0.55934,0.48637,0.33132,0.7326,0.73253,0.42353,0.078078,0.36848,0.44625,Inf,0.40415,Inf,0.3007,0.61599,Inf,Inf,0.48105,0.21518,0.17632,0.16686,0.71224,Inf,0.52738,0.41923,0.223,0.23804,Inf
0.41971,0.3448,0.31807,0.48744,0.48069,0.39372,0.74429,0.68383,0.42973,Inf,0.29108,0.36891,Inf,0.3519,Inf,0.22838,0.64809,Inf,Inf,0.53473,0.19501,0.109,0.13581,0.66786,Inf,0.57456,0.49442,0.17003,0.1791,Inf
0.32809,0.23628,0.39805,0.45098,0.55716,0.50222,0.83206,0.69911,0.51737,Inf,0.20559,0.30738,Inf,0.37235,Inf,0.12547,0.74969,Inf,Inf,0.64353,0.27316,Inf,0.21315,0.69097,Inf,0.68216,0.56544,0.072719,0.20678,Inf
0.32331,0.19611,0.47053,0.49046,0.62987,0.55428,0.90411,0.75963,0.58922,Inf,0.2171,0.33466,Inf,0.43758,Inf,0.1197,0.81733,Inf,Inf,0.70151,0.34549,Inf,0.2852,0.75418,Inf,0.7437,0.57358,Inf,0.27693,Inf
0.20659,0.1255,0.46788,0.38385,0.61609,0.62076,0.90082,0.68033,0.59191,Inf,0.098801,0.22129,Inf,0.37806,Inf,Inf,0.84184,Inf,Inf,0.75533,0.35042,Inf,0.29722,0.6815,Inf,0.78858,0.68542,Inf,0.24887,Inf
